Year	Month	Anomaly
1777	5	1.496
1777	6	0.041
1777	7	-1.2
1777	8	-1.485
1777	9	-1.572
1777	10	-2.368
1777	11	0.593
1777	12	1.641
1778	1	0.992
1778	2	2.289
1778	3	0.139
1778	4	2.389
1778	5	0.226
1778	6	-0.446
1778	7	0.781
1778	8	-1.018
1778	9	1.215
1778	10	-2.359
1778	11	-2.863
1778	12	-0.057
1779	1	-0.574
1779	2	3.106
1779	3	2.741
1779	4	0.84
1779	5	2.745
1779	6	-0.57
1779	7	-1.197
1779	8	0.49
1779	9	0.827
1779	10	0.24
1779	11	0.617
1779	12	0.794
1780	1	-2.66
1780	2	-1.448
1780	3	3.015
1780	4	1.641
1780	5	1.081
1780	6	-0.524
1780	7	1.719
1780	8	-1.623
1780	9	-2.467
1780	10	0.566
1780	11	0.665
1780	12	-2.942
1781	1	-0.772
1781	2	-1.491
1781	3	-0.079
1781	4	-1.844
1781	5	-0.877
1781	6	-1.147
1781	7	0.024
1781	8	2.383
1781	9	1.579
1781	10	-0.615
1781	11	3.574
1781	12	-3.492
1782	1	1.474
1782	2	-5.541
1782	3	-0.399
1782	4	-1.198
1782	5	-0.068
1782	6	-0.581
1782	7	-0.286
1782	8	0.439
1782	9	0.511
1782	10	0.915
1782	11	-0.31
1782	12	-4.856
1783	1	-5.332
1783	2	3.139
1783	3	-0.385
1783	4	-0.259
1783	5	2.736
1783	6	3.041
1783	7	-0.853
1783	8	1.67
1783	9	-0.157
1783	10	-0.227
1783	11	-4.117
1783	12	-2.441
1784	1	0.586
1784	2	-1.343
1784	3	-1.698
1784	4	0.714
1784	5	-2.6
1784	6	-0.794
1784	7	0.781
1784	8	3.045
1784	9	-1.207
1784	10	-1.74
1784	11	0.584
1784	12	0.033
1785	1	0.071
1785	2	-1.075
1785	3	-5.486
1785	4	-2.722
1785	5	-2.099
1785	6	-0.505
1785	7	-0.184
1785	8	0.656
1785	9	-1.307
1785	10	-2.895
1785	11	1.314
1785	12	-3.852
1786	1	-0.612
1786	2	-1.636
1786	3	-1.36
1786	4	1.277
1786	5	-1.17
1786	6	-0.636
1786	7	1.091
1786	8	1.902
1786	9	1.982
1786	10	-1.991
1786	11	-4.86
1786	12	-3.21
1787	1	1.412
1787	2	0.19
1787	3	0.747
1787	4	-1.255
1787	5	1.506
1787	6	1.813
1787	7	-0.446
1787	8	-0.265
1787	9	-1.706
1787	10	0.396
1787	11	-0.374
1787	12	-2.163
1788	1	-1.084
1788	2	1.165
1788	3	-1.229
1788	4	-1.132
1788	5	-1.394
1788	6	1.149
1788	7	3.547
1788	8	0.214
1788	9	0.86
1788	10	-1.078
1788	11	-0.956
1788	12	-10.13
1789	1	0.323
1789	2	-0.103
1789	3	-4.203
1789	4	-1.535
1789	5	2.211
1789	6	0.198
1789	7	3.048
1789	8	1.221
1789	9	1.295
1789	10	-0.869
1789	11	1.143
1789	12	2.648
1790	1	1.521
1790	2	1.528
1790	3	0.697
1790	4	-4.157
